education_required,mean_annual_wage,percent_change,occupation
Not reported,54030.0,4.7543,000000
Not reported,105980.0,7.5476,110000
Bachelor's degree,220200.0,-7.6762,111011
Bachelor's degree,97500.0,6.2438,111021
Bachelor's degree,86070.0,2.407,112011
Bachelor's degree,124670.0,6.5359,112021
Bachelor's degree,125280.0,4.9608,112022
Bachelor's degree,112270.0,4.4968,112032
Bachelor's degree,110740.0,5.2133,112033
Bachelor's degree,108370.0,6.4924,113012
Bachelor's degree,91010.0,5.5833,113013
Bachelor's degree,135610.0,14.192,113021
Bachelor's degree,132350.0,16.568,113031
Bachelor's degree,110400.0,6.0903,113051
Bachelor's degree,118140.0,7.156,113061
High school diploma or equivalent,96200.0,14.477,113071
Bachelor's degree,149340.0,1.3889,113111
Bachelor's degree,117890.0,4.9667,113121
Bachelor's degree,97980.0,11.1111,113131
High school diploma or equivalent,71330.0,1.7063,119013
Bachelor's degree,44880.0,-1.7045,119031
Master's degree,93520.0,1.6298,119032
Master's degree,118510.0,4.1096,119033
Bachelor's degree,89920.0,0.1764,119039
Bachelor's degree,137220.0,7.0884,119041
High school diploma or equivalent,62980.0,5.8134,119051
High school diploma or equivalent,107970.0,0.0,119071
High school diploma or equivalent,58720.0,11.3043,119081
Bachelor's degree,109640.0,28.7918,119111
Bachelor's degree,122570.0,3.3457,119121
High school diploma or equivalent,92750.0,-9.4787,119131
High school diploma or equivalent,53810.0,3.552,119141
Bachelor's degree,68110.0,7.7393,119151
Bachelor's degree,75440.0,4.1322,119161
Associate degree,57500.0,1.2463,119171
Bachelor's degree,120390.0,4.3112,119199
Not reported,73360.0,5.5706,130000
Bachelor's degree,,3.6364,131011
Bachelor's degree,67570.0,-4.9114,131020
High school diploma or equivalent,70790.0,-4.82,131031
Postsecondary nondegree award,73980.0,-4.1475,131032
Bachelor's degree,67970.0,5.0867,131041
Bachelor's degree,70460.0,-1.7292,131051
Bachelor's degree,66160.0,5.4428,131071
Bachelor's degree,55030.0,-1.4815,131075
Bachelor's degree,72010.0,22.4781,131081
Bachelor's degree,87760.0,5.9713,131082
Bachelor's degree,90240.0,9.9492,131111
Bachelor's degree,49190.0,7.2464,131121
Bachelor's degree,58080.0,4.1219,131131
Bachelor's degree,59940.0,12.336,131141
Bachelor's degree,61340.0,7.8702,131151
Bachelor's degree,64600.0,13.9552,131161
Bachelor's degree,75850.0,4.3046,131199
Bachelor's degree,74730.0,4.9128,132011
Bachelor's degree,73220.0,2.3774,132031
Bachelor's degree,82210.0,-3.1683,132041
Bachelor's degree,74340.0,9.0409,132051
Bachelor's degree,133470.0,13.3549,132052
Bachelor's degree,86690.0,8.4416,132054
Bachelor's degree,79370.0,18.8172,132061
Bachelor's degree,46010.0,4.4271,132071
Bachelor's degree,71580.0,4.0526,132072
Bachelor's degree,54730.0,-1.6357,132081
High school diploma or equivalent,44520.0,1.7658,132082
Bachelor's degree,65820.0,3.5851,132099
Not reported,84790.0,12.7325,150000
Bachelor's degree,83040.0,9.1462,151211
Bachelor's degree,96810.0,30.0081,151212
Master's degree,107290.0,23.9544,151221
Associate degree,69320.0,7.3097,151231
"Some college, no degree",54980.0,5.3346,151232
Bachelor's degree,109030.0,3.0928,151241
Bachelor's degree,83570.0,6.3512,151242
Bachelor's degree,99270.0,7.1521,151243
Bachelor's degree,83840.0,3.8269,151244
Bachelor's degree,97450.0,-10.2778,151251
Bachelor's degree,106070.0,24.1431,151252
Bachelor's degree,75120.0,18.8506,151253
Bachelor's degree,75670.0,16.3514,151254
Bachelor's degree,95110.0,13.2353,151255
Bachelor's degree,89750.0,11.3825,151299
Bachelor's degree,81970.0,20.8092,152031
Master's degree,100220.0,30.2326,152041
Bachelor's degree,50610.0,2.0833,152099
Not reported,81240.0,8.0573,170000
Bachelor's degree,93020.0,4.2963,171011
